graph,temporal_edges,batch_size,order,size,time,iterations,error,technique
"CollegeMsg","59836","10","564","2551","0.192","46","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","564","2551","0.157","38","0.0000061171","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","564","2551","0.132","37","0.00052398","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","564","2551","0.151","36","0.000033362","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","564","2551","0.127","31","0.000017876","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","564","2551","0.105","31","0.0005297","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","564","2551","0.124","31","0.00012759","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","564","2551","0.122","31","0.000017876","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","564","2551","0.106","31","0.0005297","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","563","2545","0.187","46","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","563","2545","0.154","38","0.0000055807","D:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","563","2545","0.127","37","0.00052762","D:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","563","2545","0.143","36","0.000033525","D:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","563","2545","0.093","24","0.000052934","D:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","563","2545","0.083","24","0.00056303","D:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","563","2545","0.124","31","0.00012814","D:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","563","2545","0.066","17","0.00016524","D:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","563","2545","0.058","17","0.00065104","D:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","792","4724","0.346","50","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","792","4724","0.23","34","0.000005455","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","792","4724","0.226","33","0.00021509","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","792","4724","0.27","38","0.000050858","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","792","4724","0.144","21","0.000043885","I:pagerankMonolithicSeqL2Norm (incremental)"
